,county,benzo(a)pyrene
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Iowa",0.0
6,"Adair, Kentucky",0.0
7,"Adams, Idaho",0.0
8,"Adams, Illinois",0.0
9,"Adams, Indiana",0.0
10,"Adams, Iowa",0.0
11,"Adams, Nebraska",0.0
12,"Adams, Ohio",0.0
13,"Adams, Pennsylvania",0.0
14,"Adams, Washington",0.0
15,"Adams, Wisconsin",0.0
16,"Addison, Vermont",0.0
17,"Aiken, South Carolina",0.0
18,"Aitkin, Minnesota",0.0
19,"Alachua, Florida",0.0
20,"Alamance, North Carolina",0.0
21,"Alameda, California",0.0
22,"Albany, New York",0.0
23,"Albany, Wyoming",0.0
24,"Albemarle, Virginia",0.0
25,"Alexander, Illinois",0.0
26,"Alexander, North Carolina",0.0
27,"Allamakee county, Iowa",0.0
28,"Allamakee, Iowa",0.0
29,"Allegan, Michigan",0.0
30,"Allegany, Maryland",0.0
31,"Allegany, New York",0.0
32,"Alleghany, North Carolina",0.0
33,"Alleghany, Virginia",0.0
34,"Allegheny county, Pennsylvania",0.0
35,"Allegheny, Pennsylvania",0.0
36,"Allen, Indiana",0.0
37,"Allen, Kentucky",0.0
38,"Allen, Louisiana",0.0
39,"Allendale, South Carolina",0.0
40,"Alpine, California",0.0
41,"American samoa, American Samoa",0.0
42,"Amherst, Virginia",0.0
43,"Anderson, Kentucky",0.0
44,"Anderson, South Carolina",0.0
45,"Anderson, Texas",0.0
46,"Andrews, Texas",0.0
47,"Androscoggin, Maine",0.0
48,"Angelina, Texas",0.001590909090909091
49,"Anne arundel, Maryland",0.0
50,"Anoka, Minnesota",0.0
51,"Anson, North Carolina",0.0
52,"Antelope, Nebraska",0.0
53,"Antrim, Michigan",0.0
54,"Apache, Arizona",0.0
55,"Appanoose, Iowa",0.0
56,"Aransas, Texas",0.0
57,"Archer, Texas",0.0
58,"Arkansas, Arkansas",0.0
59,"Armstrong county, Pennsylvania",0.0
60,"Armstrong, Pennsylvania",0.0015625
61,"Armstrong, Texas",0.0
62,"Aroostook, Maine",0.0
63,"Arthur, Nebraska",0.0
64,"Ascension, Louisiana",0.0
65,"Ashe, North Carolina",0.0
66,"Ashland, Wisconsin",0.0
67,"Ashley, Arkansas",0.0
68,"Ashtabula, Ohio",0.0
69,"Asotin, Washington",0.0
70,"Assumption, Louisiana",0.0
71,"Atascosa county, Texas",0.0
72,"Atascosa, Texas",0.0
73,"Atlantic, New Jersey",0.0
74,"Audrain, Missouri",0.0
75,"Audubon, Iowa",0.0
76,"Augusta, Virginia",0.0
77,"Aurora, South Dakota",0.0
78,"Austin, Texas",0.0
79,"Autauga, Alabama",0.0
80,"Avery, North Carolina",0.0
81,"Avoyelles, Louisiana",0.0
82,"Bailey, Texas",0.0
83,"Baker county, Florida",0.0
84,"Baker, Florida",0.0
85,"Baker, Oregon",0.0
86,"Baldwin, Alabama",0.0
87,"Ballard, Kentucky",0.0
88,"Baltimore city, Maryland",0.0
89,"Baltimore, Maryland",0.0
90,"Bamberg, South Carolina",0.0
91,"Bandera, Texas",0.0
92,"Banner, Nebraska",0.0
93,"Bannock, Idaho",0.0
94,"Baraga, Michigan",0.0
95,"Barbour, Alabama",0.0
96,"Barbour, West Virginia",0.0
97,"Barnstable, Massachusetts",0.0
98,"Barnwell, South Carolina",0.0
99,"Barren, Kentucky",0.0
100,"Barron, Wisconsin",0.0
101,"Barry, Missouri",0.0
102,"Bartholomew, Indiana",0.0
103,"Bastrop, Texas",0.0
104,"Bath, Virginia",0.0
105,"Baxter, Arkansas",0.0
106,"Bay, Florida",0.0
107,"Baylor, Texas",0.0
108,"Beadle, South Dakota",0.0
109,"Bear lake, Idaho",0.0
110,"Beaufort, North Carolina",0.0
111,"Beaufort, South Carolina",0.0
112,"Beauregard, Louisiana",0.0
113,"Beaver county, Pennsylvania",0.0
114,"Beaver, Pennsylvania",0.0
115,"Beaver, Utah",0.0
116,"Beaverhead, Montana",0.0
117,"Becker, Minnesota",0.0
118,"Bedford, Pennsylvania",0.0
119,"Bedford, Virginia",0.0
120,"Bee, Texas",0.0
121,"Belknap, New Hampshire",0.0
122,"Bell, Kentucky",0.0
123,"Bell, Texas",0.0
124,"Belmont, Ohio",0.0
125,"Beltrami county, Minnesota",0.0
126,"Beltrami, Minnesota",0.0
127,"Benewah, Idaho",0.0
128,"Bennett, South Dakota",0.0
129,"Bennington, Vermont",0.0
130,"Benton county, Arkansas",0.0
131,"Benton, Arkansas",0.0
132,"Benton, Indiana",0.0
133,"Benton, Iowa",0.0
134,"Benton, Minnesota",0.0
135,"Benton, Missouri",0.0
136,"Benton, Oregon",0.0
137,"Benton, Washington",0.0
138,"Bergen, New Jersey",0.0
139,"Berkeley, South Carolina",0.0
140,"Berkeley, West Virginia",0.0
141,"Berks county, Pennsylvania",0.0
142,"Berks, Pennsylvania",0.0
143,"Berkshire, Massachusetts",0.0
144,"Bernalillo, New Mexico",0.0
145,"Berrien, Michigan",0.0
146,"Bertie, North Carolina",0.0
147,"Bexar, Texas",0.00014563106796116503
148,"Bibb, Alabama",0.0
149,"Bienville, Louisiana",0.0
150,"Big horn, Montana",0.0
151,"Big horn, Wyoming",0.0
152,"Big stone, Minnesota",0.0
153,"Bingham, Idaho",0.0
154,"Black hawk, Iowa",0.0
155,"Blackford, Indiana",0.0
156,"Bladen, North Carolina",0.0
157,"Blaine, Idaho",0.0
158,"Blaine, Montana",0.0
159,"Blaine, Nebraska",0.0
160,"Blair, Pennsylvania",0.0
161,"Blanco, Texas",0.0
162,"Bland, Virginia",0.0
163,"Blount, Alabama",0.0
164,"Blount, Tennessee",0.0
165,"Blue earth, Minnesota",0.0
166,"Boise, Idaho",0.0
167,"Bon homme, South Dakota",0.0
168,"Bond, Illinois",0.0
169,"Bonner, Idaho",0.0
170,"Bonneville, Idaho",0.0
171,"Boone, Arkansas",0.0
172,"Boone, Illinois",0.0
173,"Boone, Indiana",0.0
174,"Boone, Iowa",0.0
175,"Boone, Kentucky",0.0
176,"Boone, Nebraska",0.0
177,"Boone, West Virginia",0.0
178,"Bosque, Texas",0.0
179,"Bossier, Louisiana",0.0
180,"Botetourt, Virginia",0.0
181,"Boundary, Idaho",0.0
182,"Bourbon, Kentucky",0.0
183,"Bowie, Texas",0.0
184,"Box butte, Nebraska",0.0
185,"Box elder, Utah",0.0
186,"Boyd, Kentucky",0.0
187,"Boyd, Nebraska",0.0
188,"Boyle, Kentucky",0.0
189,"Bracken, Kentucky",0.0
190,"Bradford, Florida",0.0
191,"Bradford, Pennsylvania",0.0
192,"Bradley, Arkansas",0.0
193,"Braxton, West Virginia",0.0
194,"Brazoria, Texas",0.0
195,"Brazos, Texas",0.0
196,"Breathitt, Kentucky",0.0
197,"Breckinridge, Kentucky",0.0
198,"Bremer, Iowa",0.0
199,"Brevard, Florida",0.0
200,"Brewster, Texas",0.0
201,"Briscoe, Texas",0.0
202,"Bristol, Massachusetts",0.0
203,"Bristol, Rhode Island",0.0
204,"Bristol, Virginia",0.0
205,"Broadwater, Montana",0.0
206,"Brooke, West Virginia",0.0
207,"Brookings, South Dakota",0.0
208,"Brooks, Texas",0.0
209,"Broome, New York",0.0
210,"Broward county, Florida",0.0
211,"Broward, Florida",0.0
212,"Brown, Illinois",0.0
213,"Brown, Indiana",0.0
214,"Brown, Minnesota",0.0
215,"Brown, Nebraska",0.0
216,"Brown, Ohio",0.0
217,"Brown, South Dakota",0.0
218,"Brown, Texas",0.0
219,"Brown, Wisconsin",0.0
220,"Brule, South Dakota",0.0
221,"Brunswick, North Carolina",0.0
222,"Brunswick, Virginia",0.0
223,"Buchanan, Iowa",0.0
224,"Buchanan, Virginia",0.0
225,"Buckingham, Virginia",0.0
226,"Bucks county, Pennsylvania",0.0
227,"Bucks, Pennsylvania",0.000140597539543058
228,"Buena vista, Iowa",0.0
229,"Buena vista, Virginia",0.0
230,"Buffalo, Nebraska",0.0
231,"Buffalo, Wisconsin",0.0
232,"Bullock, Alabama",0.0
233,"Buncombe, North Carolina",0.0
234,"Bureau, Illinois",0.0010980392156862745
235,"Burke, North Carolina",0.0
236,"Burleson, Texas",0.0
237,"Burlington, New Jersey",0.0
238,"Burnet, Texas",0.0
239,"Burnett, Wisconsin",0.0
240,"Burt, Nebraska",0.0
241,"Butler, Alabama",0.0
242,"Butler, Iowa",0.0
243,"Butler, Kentucky",0.0
244,"Butler, Nebraska",0.0
245,"Butler, Ohio",0.002217391304347826
246,"Butler, Pennsylvania",0.0
247,"Butte, California",0.0
248,"Butte, Idaho",0.0
249,"Butte, South Dakota",0.0
250,"Cabarrus, North Carolina",0.0
251,"Cabell, West Virginia",0.0
252,"Cache, Utah",0.00014388489208633093
253,"Caddo parish, Louisiana",0.0
254,"Caddo, Louisiana",0.0
255,"Calaveras, California",0.0
256,"Calcasieu, Louisiana",0.0
257,"Caldwell, Kentucky",0.0
258,"Caldwell, Louisiana",0.0
259,"Caldwell, North Carolina",0.0
260,"Caldwell, Texas",0.0
261,"Caledonia, Vermont",0.0
262,"Calhoun, Alabama",0.0
263,"Calhoun, Arkansas",0.0
264,"Calhoun, Florida",0.0
265,"Calhoun, Illinois",0.0
266,"Calhoun, Iowa",0.0
267,"Calhoun, South Carolina",0.0
268,"Calhoun, Texas",0.0
269,"Calhoun, West Virginia",0.0
270,"Callahan, Texas",0.0
271,"Calloway, Kentucky",0.0
272,"Calumet, Wisconsin",0.0
273,"Calvert, Maryland",0.0
274,"Cambria county, Pennsylvania",0.0
275,"Cambria, Pennsylvania",0.0
276,"Camden, New Jersey",0.0
277,"Camden, North Carolina",0.0
278,"Cameron, Louisiana",0.0
279,"Cameron, Pennsylvania",0.0
280,"Cameron, Texas",0.0
281,"Camp, Texas",0.0
282,"Campbell, Kentucky",0.0
283,"Campbell, Virginia",0.0
284,"Campbell, Wyoming",0.0
285,"Canyon, Idaho",0.0
286,"Cape may, New Jersey",0.0
287,"Carbon, Montana",0.0
288,"Carbon, Pennsylvania",0.0
289,"Carbon, Utah",0.0
290,"Carbon, Wyoming",0.0
291,"Caribou, Idaho",0.0
292,"Carlisle, Kentucky",0.0
293,"Carlton, Minnesota",0.0
294,"Caroline, Maryland",0.0
295,"Caroline, Virginia",0.0
296,"Carroll, Arkansas",0.0
297,"Carroll, Illinois",0.0
298,"Carroll, Indiana",0.0
299,"Carroll, Iowa",0.0
300,"Carroll, Kentucky",0.0
301,"Carroll, Maryland",0.005194805194805195
302,"Carroll, New Hampshire",0.0
303,"Carroll, Virginia",0.0
304,"Carson city, Nevada",0.0
305,"Carson, Texas",0.0
306,"Carter, Kentucky",0.0
307,"Carter, Montana",0.0
308,"Carteret, North Carolina",0.0
309,"Carver, Minnesota",0.0
310,"Cascade, Montana",0.0
311,"Casey, Kentucky",0.0
312,"Cass, Illinois",0.0
313,"Cass, Indiana",0.0
314,"Cass, Iowa",0.0
315,"Cass, Minnesota",0.0
316,"Cass, Nebraska",0.0
317,"Cass, Texas",0.0
318,"Cassia, Idaho",0.0
319,"Castro, Texas",0.0
320,"Caswell, North Carolina",0.0
321,"Catahoula, Louisiana",0.0
322,"Catawba, North Carolina",0.0
323,"Catron, New Mexico",0.0
324,"Cattaraugus, New York",0.0
325,"Cayuga county, New York",0.0
326,"Cayuga, New York",0.0
327,"Cecil, Maryland",0.00010526315789473685
328,"Cedar, Iowa",0.0
329,"Cedar, Nebraska",0.0
330,"Centre county, Pennsylvania",0.0
331,"Centre, Pennsylvania",0.0
332,"Cerro gordo, Iowa",0.0
333,"Chambers, Alabama",0.0
334,"Chambers, Texas",0.0
335,"Champaign, Illinois",0.0
336,"Champaign, Ohio",0.0
337,"Chariton, Missouri",0.0
338,"Charles mix, South Dakota",0.0
339,"Charles, Maryland",0.0
340,"Charleston county, South Carolina",0.0
341,"Charleston, South Carolina",0.0
342,"Charlotte, Florida",0.0
343,"Charlotte, Virginia",0.0
344,"Chase, Nebraska",0.0
345,"Chatham, North Carolina",0.0
346,"Chautauqua, New York",0.0
347,"Chaves, New Mexico",0.0
348,"Cheboygan, Michigan",0.0
349,"Chelan, Washington",0.0
350,"Chemung, New York",0.0
351,"Chenango, New York",0.0
352,"Cherokee, Alabama",0.0
353,"Cherokee, Iowa",0.0
354,"Cherokee, North Carolina",0.0
355,"Cherokee, South Carolina",0.0
356,"Cherokee, Texas",0.0
357,"Cherry, Nebraska",0.0
358,"Chesapeake city, Virginia",0.0
359,"Cheshire, New Hampshire",0.0
360,"Chester county, Pennsylvania",0.0
361,"Chester, Pennsylvania",0.001082089552238806
362,"Chester, South Carolina",0.0
363,"Chesterfield, South Carolina",0.0
364,"Chesterfield, Virginia",0.0
365,"Cheyenne, Nebraska",0.0
366,"Chickasaw, Iowa",0.0
367,"Chicot, Arkansas",0.0
368,"Chilton, Alabama",0.0
369,"Chippewa, Michigan",0.0
370,"Chippewa, Minnesota",0.0
371,"Chippewa, Wisconsin",0.0
372,"Chisago, Minnesota",0.0
373,"Chittenden, Vermont",0.0
374,"Choctaw, Alabama",0.0
375,"Chouteau, Montana",0.0
376,"Chowan, North Carolina",0.0
377,"Christian, Illinois",0.0006875
378,"Christian, Kentucky",0.0
379,"Churchill, Nevada",0.0
380,"Cibola, New Mexico",0.0
381,"Citrus county, Florida",0.0
382,"Citrus, Florida",0.0
383,"Clackamas, Oregon",0.00010749185667752443
384,"Claiborne, Louisiana",0.0
385,"Clallam, Washington",0.0
386,"Clare, Michigan",0.0
387,"Clarendon, South Carolina",0.0
388,"Clarion, Pennsylvania",0.0
389,"Clark county, Nevada",0.0
390,"Clark, Arkansas",0.0
391,"Clark, Illinois",0.0
392,"Clark, Indiana",0.0
393,"Clark, Kentucky",0.0
394,"Clark, Nevada",0.0
395,"Clark, Ohio",0.006521739130434782
396,"Clark, South Dakota",0.0
397,"Clark, Washington",0.0
398,"Clark, Wisconsin",0.0
399,"Clarke, Alabama",0.0
400,"Clarke, Iowa",0.0
401,"Clarke, Virginia",0.0
402,"Clatsop, Oregon",0.0
403,"Clay, Alabama",0.0
404,"Clay, Arkansas",0.0
405,"Clay, Florida",0.0
406,"Clay, Illinois",0.0
407,"Clay, Indiana",0.0
408,"Clay, Iowa",0.0
409,"Clay, Kentucky",0.0
410,"Clay, Minnesota",0.0
411,"Clay, Nebraska",0.0
412,"Clay, North Carolina",0.0
413,"Clay, South Dakota",0.0
414,"Clay, Texas",0.0
415,"Clay, West Virginia",0.0
416,"Clayton, Iowa",0.0
417,"Clearfield county, Pennsylvania",0.0
418,"Clearfield, Pennsylvania",0.0
419,"Clearwater, Idaho",0.0
420,"Clearwater, Minnesota",0.0
421,"Cleburne, Alabama",0.0
422,"Cleburne, Arkansas",0.0
423,"Clermont, Ohio",0.0
424,"Cleveland, Arkansas",0.0
425,"Cleveland, North Carolina",0.0
426,"Clinton, Illinois",0.0006571428571428571
427,"Clinton, Indiana",0.0
428,"Clinton, Iowa",0.0
429,"Clinton, Kentucky",0.0
430,"Clinton, New York",0.0
431,"Clinton, Pennsylvania",0.0
432,"Cochise, Arizona",0.00010158730158730159
433,"Cochran, Texas",0.0
434,"Coconino, Arizona",0.00016666666666666666
435,"Codington, South Dakota",0.0
436,"Coffee, Alabama",0.0
437,"Coke, Texas",0.0
438,"Colbert, Alabama",0.0
439,"Cole, Missouri",0.0
440,"Coleman, Texas",0.0
441,"Coles, Illinois",0.0014642857142857144
442,"Colfax, Nebraska",0.0
443,"Colfax, New Mexico",0.0
444,"Colleton, South Carolina",0.0
445,"Collier, Florida",0.0
446,"Collin, Texas",0.0
447,"Collingsworth, Texas",0.0
448,"Colorado, Texas",0.0
449,"Columbia, Arkansas",0.0
450,"Columbia, Florida",0.0
451,"Columbia, New York",0.0
452,"Columbia, Oregon",0.0
453,"Columbia, Pennsylvania",0.0
454,"Columbia, Washington",0.0
455,"Columbia, Wisconsin",0.0
456,"Columbiana, Ohio",0.0
457,"Columbus county, North Carolina",0.0
458,"Columbus, North Carolina",0.0
459,"Colusa, California",0.0
460,"Comal, Texas",0.0
461,"Comanche, Texas",0.0
462,"Concho, Texas",0.0
463,"Concordia, Louisiana",0.0
464,"Conecuh, Alabama",0.0
465,"Contra costa, California",0.0
466,"Converse, Wyoming",0.0
467,"Conway, Arkansas",0.0
468,"Cook, Illinois",0.013468013468013467
469,"Cook, Minnesota",0.0
470,"Cooke, Texas",0.0026984126984126986
