,county,dinoseb
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Iowa",0.0
6,"Adair, Kentucky",0.0
7,"Adair, Missouri",0.0
8,"Adair, Oklahoma",0.0
9,"Adams, Idaho",0.0
10,"Adams, Illinois",0.0
11,"Adams, Indiana",0.0
12,"Adams, Iowa",0.0
13,"Adams, Nebraska",0.0
14,"Adams, Pennsylvania",0.0
15,"Adams, Washington",0.0
16,"Adams, Wisconsin",0.0
17,"Addison, Vermont",0.0
18,"Aiken, South Carolina",0.0
19,"Aitkin, Minnesota",0.0
20,"Alachua, Florida",0.0
21,"Alamance, North Carolina",0.0
22,"Alameda, California",0.0
23,"Albany, New York",0.0
24,"Albany, Wyoming",0.0
25,"Albemarle, Virginia",0.0
26,"Alcona, Michigan",0.0
27,"Alexander, Illinois",0.0
28,"Alexander, North Carolina",0.0
29,"Alfalfa, Oklahoma",0.0
30,"Alger, Michigan",0.0
31,"Allamakee county, Iowa",0.0
32,"Allamakee, Iowa",0.0
33,"Allegan, Michigan",0.0
34,"Allegany, Maryland",0.0
35,"Allegany, New York",0.0
36,"Alleghany, North Carolina",0.0
37,"Alleghany, Virginia",0.0
38,"Allegheny county, Pennsylvania",0.0
39,"Allegheny, Pennsylvania",0.0
40,"Allen, Indiana",0.0
41,"Allen, Kentucky",0.0
42,"Allen, Louisiana",0.0
43,"Allendale, South Carolina",0.0
44,"Alpena, Michigan",0.0
45,"Alpine, California",0.0
46,"American samoa, American Samoa",0.0
47,"Amherst, Virginia",0.0
48,"Anderson, Kentucky",0.0
49,"Anderson, South Carolina",0.0
50,"Anderson, Texas",0.0
51,"Andrew, Missouri",0.0
52,"Andrews, Texas",0.0
53,"Androscoggin, Maine",0.0
54,"Angelina, Texas",0.0
55,"Anne arundel, Maryland",0.010618556701030929
56,"Anoka, Minnesota",0.0
57,"Anson, North Carolina",0.0
58,"Antelope, Nebraska",0.0
59,"Antrim, Michigan",0.0
60,"Apache, Arizona",0.0
61,"Appanoose, Iowa",0.0
62,"Archer, Texas",0.08857142857142856
63,"Arenac, Michigan",0.0
64,"Arkansas, Arkansas",0.0
65,"Armstrong county, Pennsylvania",0.0
66,"Armstrong, Pennsylvania",0.0
67,"Aroostook, Maine",0.0
68,"Arthur, Nebraska",0.0
69,"Ascension, Louisiana",0.0
70,"Ashe, North Carolina",0.10396511627906975
71,"Ashland, Wisconsin",0.0
72,"Ashley, Arkansas",0.0
73,"Asotin, Washington",0.0
74,"Assumption, Louisiana",0.0
75,"Atascosa, Texas",0.0
76,"Atchison, Missouri",0.0
77,"Atlantic, New Jersey",0.0
78,"Atoka, Oklahoma",0.0
79,"Audrain, Missouri",0.0
80,"Audubon, Iowa",0.0
81,"Augusta, Virginia",0.0
82,"Aurora, South Dakota",0.0
83,"Austin, Texas",0.0
84,"Autauga, Alabama",0.0
85,"Avery, North Carolina",0.0
86,"Avoyelles, Louisiana",0.0
87,"B, Oklahoma",0.0
88,"Bailey, Texas",0.0
89,"Baker county, Florida",0.0
90,"Baker, Florida",0.0
91,"Baker, Oregon",0.0
92,"Baldwin, Alabama",0.0
93,"Ballard, Kentucky",0.0
94,"Baltimore city, Maryland",0.0
95,"Baltimore, Maryland",0.034943820224719105
96,"Bamberg, South Carolina",0.0
97,"Bandera, Texas",0.0
98,"Banner, Nebraska",0.0
99,"Bannock, Idaho",0.0
100,"Baraga, Michigan",0.0
101,"Barbour, Alabama",0.0
102,"Barbour, West Virginia",0.0
103,"Barnes, North Dakota",0.0
104,"Barnstable, Massachusetts",0.0
105,"Barnwell, South Carolina",0.0
106,"Barren, Kentucky",0.0
107,"Barron, Wisconsin",0.0
108,"Barry, Michigan",0.0
109,"Barry, Missouri",0.0
110,"Bartholomew, Indiana",0.0
111,"Barton, Missouri",0.0
112,"Bastrop, Texas",0.0
113,"Bates, Missouri",0.0
114,"Bath, Virginia",0.0
115,"Baxter, Arkansas",0.0
116,"Bay, Florida",0.0
117,"Bay, Michigan",0.0
118,"Bayfield, Wisconsin",0.0
119,"Baylor, Texas",0.0
120,"Beadle, South Dakota",0.0
121,"Bear lake, Idaho",0.0
122,"Beaufort, North Carolina",0.0
123,"Beaufort, South Carolina",0.0
124,"Beauregard, Louisiana",0.0
125,"Beaver county, Pennsylvania",0.0
126,"Beaver, Oklahoma",0.0
127,"Beaver, Pennsylvania",0.0
128,"Beaver, Utah",0.0
129,"Beaverhead, Montana",0.0
130,"Becker, Minnesota",0.0
131,"Beckham, Oklahoma",0.0
132,"Bedford, Pennsylvania",0.0
133,"Bedford, Virginia",0.0
134,"Bee, Texas",0.0
135,"Belknap, New Hampshire",0.0
136,"Bell, Kentucky",0.0
137,"Bell, Texas",0.0
138,"Beltrami county, Minnesota",0.0
139,"Beltrami, Minnesota",0.0
140,"Benewah, Idaho",0.0
141,"Bennett, South Dakota",0.0
142,"Bennington, Vermont",0.0
143,"Benson, North Dakota",0.0
144,"Benton county, Arkansas",0.0
145,"Benton, Arkansas",0.0
146,"Benton, Indiana",0.0
147,"Benton, Iowa",0.0
148,"Benton, Minnesota",0.0
149,"Benton, Missouri",0.0
150,"Benton, Oregon",0.0
151,"Benton, Washington",0.0
152,"Benzie, Michigan",0.0
153,"Bergen, New Jersey",0.0
154,"Berkeley, South Carolina",0.0
155,"Berkeley, West Virginia",0.0
156,"Berks county, Pennsylvania",0.0
157,"Berks, Pennsylvania",0.000628930817610063
158,"Berkshire, Massachusetts",0.0
159,"Bernalillo, New Mexico",0.0
160,"Berrien, Michigan",0.0
161,"Bertie, North Carolina",0.0
162,"Bexar, Texas",0.02075187969924812
163,"Bibb, Alabama",0.0
164,"Bienville, Louisiana",0.0
165,"Big horn, Montana",0.0
166,"Big horn, Wyoming",0.0
167,"Big stone, Minnesota",0.0
168,"Bingham, Idaho",0.0
169,"Black hawk, Iowa",0.0
170,"Blackford, Indiana",0.0
171,"Bladen, North Carolina",0.0
172,"Blaine, Idaho",0.0
173,"Blaine, Montana",0.0
174,"Blaine, Nebraska",0.0
175,"Blaine, Oklahoma",0.0
176,"Blair, Pennsylvania",0.0
177,"Blanco, Texas",0.0
178,"Bland, Virginia",0.0
179,"Blount, Alabama",0.0
180,"Blue earth, Minnesota",0.0
181,"Boise, Idaho",0.0
182,"Bollinger, Missouri",0.0
183,"Bon homme, South Dakota",0.0
184,"Bond, Illinois",0.0
185,"Bonner, Idaho",0.0
186,"Bonneville, Idaho",0.0
187,"Boone, Arkansas",0.0
188,"Boone, Illinois",0.0
189,"Boone, Indiana",0.0
190,"Boone, Iowa",0.0
191,"Boone, Kentucky",0.013333333333333334
192,"Boone, Missouri",0.0
193,"Boone, Nebraska",0.0
194,"Boone, West Virginia",0.0
195,"Bosque, Texas",0.0
196,"Bossier, Louisiana",0.0
197,"Botetourt, Virginia",0.0
198,"Bottineau, North Dakota",0.0
199,"Boundary, Idaho",0.0
200,"Bourbon, Kentucky",0.0
201,"Bowie, Texas",0.0
202,"Bowman, North Dakota",0.0
203,"Box butte, Nebraska",0.0
204,"Box elder, Utah",0.0
205,"Boyd, Kentucky",0.0
206,"Boyd, Nebraska",0.0
207,"Boyle, Kentucky",0.0
208,"Bracken, Kentucky",0.0
209,"Bradford, Florida",0.0
210,"Bradford, Pennsylvania",0.0
211,"Bradley, Arkansas",0.0
212,"Branch, Michigan",0.0
213,"Braxton, West Virginia",0.0
214,"Brazoria, Texas",0.0
215,"Brazos, Texas",0.0
216,"Breathitt, Kentucky",0.0
217,"Breckinridge, Kentucky",0.0
218,"Bremer, Iowa",0.0
219,"Brevard, Florida",0.0
220,"Brewster, Texas",0.0
221,"Briscoe, Texas",0.0
222,"Bristol, Massachusetts",0.0
223,"Bristol, Rhode Island",0.0
224,"Bristol, Virginia",0.0
225,"Broadwater, Montana",0.0
226,"Brooke, West Virginia",0.0
227,"Brookings, South Dakota",0.0
228,"Brooks, Texas",0.0
229,"Broome, New York",0.0
230,"Broward county, Florida",0.0
231,"Broward, Florida",0.00041970802919708033
232,"Brown, Illinois",0.0
233,"Brown, Indiana",0.0
234,"Brown, Minnesota",0.0
235,"Brown, Nebraska",0.05391304347826087
236,"Brown, South Dakota",0.0
237,"Brown, Texas",0.0
238,"Brown, Wisconsin",0.0
239,"Brule, South Dakota",0.0
240,"Brunswick, North Carolina",0.0
241,"Brunswick, Virginia",0.0
242,"Bryan, Oklahoma",0.0
243,"Buchanan, Iowa",0.0
244,"Buchanan, Virginia",0.0
245,"Buckingham, Virginia",0.0
246,"Bucks county, Pennsylvania",0.0
247,"Bucks, Pennsylvania",0.0
248,"Buena vista, Iowa",0.0
249,"Buena vista, Virginia",0.0
250,"Buffalo, Nebraska",0.03196078431372549
251,"Buffalo, Wisconsin",0.0
252,"Bullock, Alabama",0.0
253,"Buncombe, North Carolina",0.0
254,"Bureau, Illinois",0.0
255,"Burke, North Carolina",0.0
256,"Burke, North Dakota",0.0
257,"Burleigh, North Dakota",0.0
258,"Burleson, Texas",0.0
259,"Burlington, New Jersey",0.0
260,"Burnet, Texas",0.0
261,"Burnett, Wisconsin",0.0
262,"Burt, Nebraska",0.0
263,"Butler, Alabama",0.0
264,"Butler, Iowa",0.0
265,"Butler, Kentucky",0.0
266,"Butler, Missouri",0.0
267,"Butler, Nebraska",0.0
268,"Butler, Ohio",0.0
269,"Butler, Pennsylvania",0.0
270,"Butte, California",0.0
271,"Butte, Idaho",0.0
272,"Butte, South Dakota",0.0
273,"Cabarrus, North Carolina",0.0
274,"Cabell, West Virginia",0.0
275,"Cache, Utah",0.0
276,"Caddo parish, Louisiana",0.0
277,"Caddo, Louisiana",0.0
278,"Caddo, Oklahoma",0.0
279,"Calaveras, California",0.0
280,"Calcasieu, Louisiana",0.0
281,"Caldwell, Kentucky",0.0
282,"Caldwell, Louisiana",0.0
283,"Caldwell, Missouri",0.0
284,"Caldwell, North Carolina",0.0
285,"Caldwell, Texas",0.0
286,"Caledonia, Vermont",0.0
287,"Calhoun, Alabama",0.0
288,"Calhoun, Arkansas",0.0
289,"Calhoun, Florida",0.0
290,"Calhoun, Illinois",0.0
291,"Calhoun, Iowa",0.0
292,"Calhoun, Michigan",0.0
293,"Calhoun, South Carolina",0.0
294,"Calhoun, Texas",0.0
295,"Callahan, Texas",0.0
296,"Callaway, Missouri",0.0
297,"Calloway, Kentucky",0.0
298,"Calumet, Wisconsin",0.0
299,"Calvert, Maryland",0.013428571428571429
300,"Cambria county, Pennsylvania",0.0
301,"Cambria, Pennsylvania",0.0
302,"Camden, Missouri",0.0
303,"Camden, New Jersey",0.0
304,"Camden, North Carolina",0.0
305,"Cameron, Louisiana",0.0
306,"Cameron, Pennsylvania",0.0
307,"Cameron, Texas",0.0
308,"Camp, Texas",0.0
309,"Campbell, Kentucky",0.0
310,"Campbell, Virginia",0.0
311,"Campbell, Wyoming",0.0
312,"Canadian, Oklahoma",0.0
313,"Canyon, Idaho",0.0
314,"Cape girardeau, Missouri",0.0
315,"Cape may, New Jersey",0.0
316,"Carbon, Montana",0.014516129032258063
317,"Carbon, Pennsylvania",0.0
318,"Carbon, Utah",0.0
319,"Carbon, Wyoming",0.0
320,"Caribou, Idaho",0.0
321,"Carlisle, Kentucky",0.0
322,"Carlton, Minnesota",0.0
323,"Caroline, Maryland",0.0
324,"Carroll, Arkansas",0.0
325,"Carroll, Illinois",0.0
326,"Carroll, Indiana",0.0
327,"Carroll, Iowa",0.0
328,"Carroll, Kentucky",0.0
329,"Carroll, Maryland",0.02574162679425837
330,"Carroll, Missouri",0.0
331,"Carroll, New Hampshire",0.0
332,"Carroll, Virginia",0.0
333,"Carson city, Nevada",0.0
334,"Carson, Texas",0.0
335,"Carter, Kentucky",0.0
336,"Carter, Missouri",0.0
337,"Carter, Montana",0.0
338,"Carter, Oklahoma",0.0
339,"Carteret, North Carolina",0.0
340,"Carver, Minnesota",0.0
341,"Cascade, Montana",0.0
342,"Casey, Kentucky",0.0
343,"Cass, Illinois",0.0
344,"Cass, Indiana",0.0
345,"Cass, Iowa",0.0
346,"Cass, Michigan",0.0
347,"Cass, Minnesota",0.0
348,"Cass, Missouri",0.0
349,"Cass, Nebraska",0.0
350,"Cass, North Dakota",0.0
351,"Cass, Texas",0.0
352,"Cassia, Idaho",0.0
353,"Castro, Texas",0.0
354,"Caswell, North Carolina",0.0
355,"Catahoula, Louisiana",0.0
356,"Catawba, North Carolina",0.0
357,"Catron, New Mexico",0.0
358,"Cattaraugus, New York",0.0
359,"Cavalier, North Dakota",0.0
360,"Cayuga county, New York",0.0
361,"Cayuga, New York",0.0
362,"Cecil, Maryland",0.028322147651006716
363,"Cedar, Iowa",0.0
364,"Cedar, Missouri",0.0
365,"Cedar, Nebraska",0.0
366,"Centre county, Pennsylvania",0.0
367,"Centre, Pennsylvania",0.0
368,"Cerro gordo, Iowa",0.0
369,"Chambers, Alabama",0.0
370,"Chambers, Texas",0.0
371,"Champaign, Illinois",0.0
372,"Chariton, Missouri",0.0
373,"Charles mix, South Dakota",0.0
374,"Charles, Maryland",0.0
375,"Charleston county, South Carolina",0.0
376,"Charleston, South Carolina",0.0
377,"Charlevoix, Michigan",0.0
378,"Charlotte, Florida",0.0
379,"Charlotte, Virginia",0.0
380,"Chase, Nebraska",0.0
381,"Chatham, North Carolina",0.0
382,"Chautauqua, New York",0.0
383,"Chaves, New Mexico",0.0
384,"Cheboygan, Michigan",0.0
385,"Chelan, Washington",0.0
386,"Chemung, New York",0.0
387,"Chenango, New York",0.0
388,"Cherokee, Alabama",0.0
389,"Cherokee, Iowa",0.0
390,"Cherokee, North Carolina",0.0
391,"Cherokee, South Carolina",0.0
392,"Cherokee, Texas",0.0
393,"Cherry, Nebraska",0.0
394,"Chesapeake city, Virginia",0.0
395,"Cheshire, New Hampshire",0.0
396,"Chester county, Pennsylvania",0.0
397,"Chester, Pennsylvania",0.0
398,"Chester, South Carolina",0.0
399,"Chesterfield, South Carolina",0.0
400,"Chesterfield, Virginia",0.0
401,"Cheyenne, Nebraska",0.0
402,"Chickasaw, Iowa",0.0
403,"Chicot, Arkansas",0.0
404,"Chilton, Alabama",0.0
405,"Chippewa, Michigan",0.0
406,"Chippewa, Minnesota",0.0
407,"Chippewa, Wisconsin",0.0
408,"Chisago, Minnesota",0.0
409,"Chittenden, Vermont",0.0
410,"Choctaw, Alabama",0.0
411,"Choctaw, Oklahoma",0.0
412,"Chouteau, Montana",0.0
413,"Chowan, North Carolina",0.0
414,"Christian, Illinois",0.0
415,"Christian, Kentucky",0.0
416,"Christian, Missouri",0.0
417,"Churchill, Nevada",0.0
418,"Cibola, New Mexico",0.0
419,"Cimarron, Oklahoma",0.0
420,"Citrus county, Florida",0.0
421,"Citrus, Florida",0.0
422,"Clackamas, Oregon",0.0
423,"Claiborne, Louisiana",0.0
424,"Clallam, Washington",0.0
425,"Clare, Michigan",0.0
426,"Clarendon, South Carolina",0.0
427,"Clarion, Pennsylvania",0.0
428,"Clark county, Nevada",0.0
429,"Clark, Arkansas",0.0
430,"Clark, Idaho",0.0
431,"Clark, Illinois",0.0
432,"Clark, Indiana",0.0
433,"Clark, Kentucky",0.0
434,"Clark, Missouri",0.0
435,"Clark, Nevada",0.0
436,"Clark, South Dakota",0.0
437,"Clark, Washington",0.0
438,"Clark, Wisconsin",0.0
439,"Clarke, Alabama",0.0
440,"Clarke, Iowa",0.0
441,"Clarke, Virginia",0.0
442,"Clatsop, Oregon",0.0
443,"Clay, Alabama",0.0
444,"Clay, Arkansas",0.0
445,"Clay, Florida",0.0
446,"Clay, Illinois",0.0
447,"Clay, Indiana",0.0
448,"Clay, Iowa",0.0
449,"Clay, Kentucky",0.0
450,"Clay, Minnesota",0.0
451,"Clay, Missouri",0.0
452,"Clay, Nebraska",0.06894736842105263
453,"Clay, North Carolina",0.0
454,"Clay, South Dakota",0.0
455,"Clay, Texas",0.0
456,"Clay, West Virginia",0.0
457,"Clayton, Iowa",0.0
458,"Clearfield county, Pennsylvania",0.0
459,"Clearfield, Pennsylvania",0.0
460,"Clearwater, Idaho",0.0
461,"Clearwater, Minnesota",0.0
462,"Cleburne, Alabama",0.0
463,"Cleburne, Arkansas",0.0
464,"Cleveland, Arkansas",0.0
465,"Cleveland, North Carolina",0.0
466,"Cleveland, Oklahoma",0.0
467,"Clinton, Illinois",0.0
468,"Clinton, Indiana",0.0
469,"Clinton, Iowa",0.0
