,county,hexachlorobenzene
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adams, Idaho",0.0
8,"Adams, Illinois",0.0
9,"Adams, Indiana",0.0
10,"Adams, Nebraska",0.0
11,"Adams, Pennsylvania",0.0
12,"Adams, Washington",0.0
13,"Adams, Wisconsin",0.0
14,"Addison, Vermont",0.0
15,"Aiken, South Carolina",0.0
16,"Aitkin, Minnesota",0.0
17,"Alachua, Florida",0.0
18,"Alamance, North Carolina",0.0
19,"Alameda, California",0.0
20,"Albany, New York",0.0
21,"Albany, Wyoming",0.0
22,"Albemarle, Virginia",0.0
23,"Alcona, Michigan",0.0
24,"Alexander, Illinois",0.0
25,"Alexander, North Carolina",0.0
26,"Alger, Michigan",0.0
27,"Allegan, Michigan",0.0
28,"Allegany, Maryland",0.0
29,"Allegany, New York",0.0
30,"Alleghany, North Carolina",0.0
31,"Alleghany, Virginia",0.0
32,"Allegheny county, Pennsylvania",0.0
33,"Allegheny, Pennsylvania",0.0
34,"Allen, Indiana",0.0
35,"Allen, Kansas",0.0
36,"Allen, Kentucky",0.0
37,"Allen, Louisiana",0.096875
38,"Allendale, South Carolina",0.0
39,"Alpena, Michigan",0.0
40,"Alpine, California",0.0
41,"American samoa, American Samoa",0.0
42,"Amherst, Virginia",0.0
43,"Anderson, Kansas",0.0
44,"Anderson, Kentucky",0.0
45,"Anderson, South Carolina",0.0
46,"Anderson, Texas",0.0
47,"Andrew, Missouri",0.0
48,"Andrews, Texas",0.0
49,"Androscoggin, Maine",0.0
50,"Angelina, Texas",0.0
51,"Anne arundel, Maryland",0.0
52,"Anoka, Minnesota",0.0
53,"Anson, North Carolina",0.0
54,"Antelope, Nebraska",0.0
55,"Antrim, Michigan",0.0
56,"Apache, Arizona",0.0
57,"Aransas, Texas",0.0
58,"Archer, Texas",0.0
59,"Arenac, Michigan",0.0
60,"Arkansas, Arkansas",0.0
61,"Armstrong county, Pennsylvania",0.0
62,"Armstrong, Pennsylvania",0.0
63,"Armstrong, Texas",0.0
64,"Aroostook, Maine",0.0
65,"Arthur, Nebraska",0.0
66,"Ascension, Louisiana",0.0
67,"Ashe, North Carolina",0.0
68,"Ashland, Wisconsin",0.0
69,"Ashley, Arkansas",0.0
70,"Ashtabula, Ohio",0.0
71,"Asotin, Washington",0.0
72,"Assumption, Louisiana",0.0
73,"Atascosa county, Texas",0.0
74,"Atascosa, Texas",0.0
75,"Atchison, Kansas",0.0
76,"Atchison, Missouri",0.0
77,"Atlantic, New Jersey",0.0
78,"Audrain, Missouri",0.0
79,"Augusta, Virginia",0.0
80,"Aurora, South Dakota",0.0
81,"Austin, Texas",0.0
82,"Autauga, Alabama",0.0
83,"Avery, North Carolina",0.0
84,"Avoyelles, Louisiana",0.0
85,"Bailey, Texas",0.0
86,"Baker county, Florida",0.0
87,"Baker, Florida",0.0
88,"Baker, Oregon",0.0
89,"Baldwin, Alabama",0.0
90,"Ballard, Kentucky",0.0
91,"Baltimore city, Maryland",0.0
92,"Baltimore, Maryland",0.0
93,"Bamberg, South Carolina",0.0
94,"Bandera, Texas",0.0
95,"Banner, Nebraska",0.0
96,"Bannock, Idaho",0.0
97,"Baraga, Michigan",0.0
98,"Barbour, Alabama",0.0
99,"Barbour, West Virginia",0.0
100,"Barnstable, Massachusetts",0.0
101,"Barnwell, South Carolina",0.0
102,"Barren, Kentucky",0.0
103,"Barron, Wisconsin",0.0
104,"Barry, Michigan",0.0
105,"Barry, Missouri",0.0
106,"Bartholomew, Indiana",0.0
107,"Barton, Missouri",0.0
108,"Bastrop, Texas",0.0
109,"Bates, Missouri",0.0
110,"Bath, Virginia",0.0
111,"Baxter, Arkansas",0.0
112,"Bay, Florida",0.0
113,"Bay, Michigan",0.0
114,"Bayfield, Wisconsin",0.0
115,"Baylor, Texas",0.0
116,"Beadle, South Dakota",0.0
117,"Bear lake, Idaho",0.0
118,"Beaufort, North Carolina",0.0
119,"Beaufort, South Carolina",0.0
120,"Beauregard, Louisiana",0.0
121,"Beaver county, Pennsylvania",0.0
122,"Beaver, Pennsylvania",0.0
123,"Beaver, Utah",0.0
124,"Beaverhead, Montana",0.0
125,"Becker, Minnesota",0.0
126,"Bedford, Pennsylvania",0.0
127,"Bedford, Virginia",0.0
128,"Bee, Texas",0.0
129,"Belknap, New Hampshire",0.0
130,"Bell, Kentucky",0.0
131,"Bell, Texas",0.0
132,"Beltrami county, Minnesota",0.0
133,"Beltrami, Minnesota",0.0
134,"Benewah, Idaho",0.0
135,"Bennett, South Dakota",0.0
136,"Bennington, Vermont",0.0
137,"Benton county, Arkansas",0.0
138,"Benton, Arkansas",0.0
139,"Benton, Indiana",0.0
140,"Benton, Minnesota",0.0
141,"Benton, Missouri",0.0
142,"Benton, Oregon",0.0
143,"Benton, Washington",0.0
144,"Benzie, Michigan",0.0
145,"Bergen, New Jersey",0.0
146,"Berkeley, South Carolina",0.0
147,"Berkeley, West Virginia",0.0
148,"Berks county, Pennsylvania",0.0
149,"Berks, Pennsylvania",0.0
150,"Berkshire, Massachusetts",0.0
151,"Bernalillo, New Mexico",0.0
152,"Berrien, Michigan",0.0
153,"Bertie, North Carolina",0.0
154,"Bexar, Texas",0.0
155,"Bibb, Alabama",0.0
156,"Bienville, Louisiana",0.0008461538461538462
157,"Big horn, Montana",0.0
158,"Big horn, Wyoming",0.0
159,"Big stone, Minnesota",0.0
160,"Bingham, Idaho",0.0
161,"Blackford, Indiana",0.0
162,"Bladen, North Carolina",0.0
163,"Blaine, Idaho",0.0
164,"Blaine, Montana",0.0
165,"Blaine, Nebraska",0.0
166,"Blair, Pennsylvania",0.0
167,"Blanco, Texas",0.0
168,"Bland, Virginia",0.0
169,"Blount, Alabama",0.0
170,"Blue earth, Minnesota",0.0
171,"Boise, Idaho",0.0
172,"Bollinger, Missouri",0.0
173,"Bon homme, South Dakota",0.0
174,"Bond, Illinois",0.0
175,"Bonner, Idaho",0.0
176,"Bonneville, Idaho",0.0
177,"Boone, Arkansas",0.0
178,"Boone, Illinois",0.0
179,"Boone, Indiana",0.0
180,"Boone, Kentucky",0.0
181,"Boone, Missouri",0.0
182,"Boone, Nebraska",0.0
183,"Boone, West Virginia",0.0
184,"Bosque, Texas",0.0
185,"Bossier, Louisiana",0.0
186,"Botetourt, Virginia",0.0
187,"Boundary, Idaho",0.0
188,"Bourbon, Kansas",0.0
189,"Bourbon, Kentucky",0.0
190,"Bowie, Texas",0.0
191,"Box butte, Nebraska",0.0
192,"Box elder, Utah",0.0
193,"Boyd, Kentucky",0.0
194,"Boyd, Nebraska",0.0
195,"Boyle, Kentucky",0.0
196,"Bracken, Kentucky",0.0
197,"Bradford, Florida",0.0
198,"Bradford, Pennsylvania",0.0
199,"Bradley, Arkansas",0.0
200,"Branch, Michigan",0.0
201,"Braxton, West Virginia",0.0
202,"Brazoria, Texas",0.0
203,"Brazos, Texas",0.0
204,"Breathitt, Kentucky",0.0
205,"Breckinridge, Kentucky",0.0
206,"Brevard, Florida",0.0
207,"Brewster, Texas",0.0
208,"Briscoe, Texas",0.0
209,"Bristol, Massachusetts",0.0
210,"Bristol, Rhode Island",0.0
211,"Bristol, Virginia",0.0
212,"Broadwater, Montana",0.0
213,"Brooke, West Virginia",0.0
214,"Brookings, South Dakota",0.0
215,"Brooks, Texas",0.0
216,"Broome, New York",0.0
217,"Broward county, Florida",0.0
218,"Broward, Florida",0.0
219,"Brown, Illinois",0.0
220,"Brown, Indiana",0.0
221,"Brown, Kansas",0.0
222,"Brown, Minnesota",0.0
223,"Brown, Nebraska",0.0
224,"Brown, South Dakota",0.0
225,"Brown, Texas",0.0
226,"Brown, Wisconsin",0.0
227,"Brule, South Dakota",0.0
228,"Brunswick, North Carolina",0.0
229,"Brunswick, Virginia",0.0
230,"Buchanan, Virginia",0.0
231,"Buckingham, Virginia",0.0
232,"Bucks county, Pennsylvania",0.0
233,"Bucks, Pennsylvania",0.0
234,"Buena vista, Virginia",0.0
235,"Buffalo, Nebraska",0.0
236,"Buffalo, Wisconsin",0.0
237,"Bullock, Alabama",0.0
238,"Buncombe, North Carolina",0.0
239,"Bureau, Illinois",0.0
240,"Burke, North Carolina",0.0
241,"Burleson, Texas",0.0
242,"Burlington, New Jersey",0.0
243,"Burnet, Texas",0.0
244,"Burnett, Wisconsin",0.0
245,"Burt, Nebraska",0.0
246,"Butler, Alabama",0.0
247,"Butler, Kansas",0.0
248,"Butler, Kentucky",0.0
249,"Butler, Missouri",0.0
250,"Butler, Nebraska",0.0
251,"Butler, Ohio",0.0
252,"Butler, Pennsylvania",0.0
253,"Butte, California",0.0
254,"Butte, Idaho",0.0
255,"Butte, South Dakota",0.0
256,"Cabarrus, North Carolina",0.0
257,"Cabell, West Virginia",0.0
258,"Cache, Utah",0.0
259,"Caddo parish, Louisiana",0.0
260,"Caddo, Louisiana",0.0
261,"Calaveras, California",0.0
262,"Calcasieu, Louisiana",0.000546875
263,"Caldwell, Kentucky",0.0
264,"Caldwell, Louisiana",0.0
265,"Caldwell, Missouri",0.0
266,"Caldwell, North Carolina",0.0
267,"Caldwell, Texas",0.0
268,"Caledonia, Vermont",0.0
269,"Calhoun, Alabama",0.0
270,"Calhoun, Arkansas",0.0
271,"Calhoun, Florida",0.0
272,"Calhoun, Illinois",0.0
273,"Calhoun, Michigan",0.0
274,"Calhoun, South Carolina",0.0
275,"Calhoun, Texas",0.0
276,"Calhoun, West Virginia",0.0
277,"Callahan, Texas",0.0
278,"Callaway, Missouri",0.0
279,"Calloway, Kentucky",0.0
280,"Calumet, Wisconsin",0.0
281,"Calvert, Maryland",0.0
282,"Cambria county, Pennsylvania",0.0
283,"Cambria, Pennsylvania",0.0
284,"Camden, Missouri",0.0
285,"Camden, New Jersey",0.0
286,"Camden, North Carolina",0.0
287,"Cameron, Louisiana",0.0
288,"Cameron, Pennsylvania",0.0
289,"Cameron, Texas",0.0
290,"Camp, Texas",0.0
291,"Campbell, Kentucky",0.0
292,"Campbell, Virginia",0.0
293,"Campbell, Wyoming",0.0
294,"Canyon, Idaho",0.0
295,"Cape girardeau, Missouri",0.0
296,"Cape may, New Jersey",0.0
297,"Carbon, Montana",0.0
298,"Carbon, Pennsylvania",0.0
299,"Carbon, Utah",0.0
300,"Carbon, Wyoming",0.0
301,"Caribou, Idaho",0.0
302,"Carlisle, Kentucky",0.0
303,"Carlton, Minnesota",0.0
304,"Caroline, Maryland",0.0
305,"Caroline, Virginia",0.0
306,"Carroll, Arkansas",0.0
307,"Carroll, Illinois",0.0
308,"Carroll, Indiana",0.0
309,"Carroll, Kentucky",0.0
310,"Carroll, Maryland",0.0
311,"Carroll, Missouri",0.0
312,"Carroll, New Hampshire",0.0
313,"Carroll, Virginia",0.0
314,"Carson city, Nevada",0.0
315,"Carson, Texas",0.0
316,"Carter, Kentucky",0.0
317,"Carter, Missouri",0.0
318,"Carter, Montana",0.0
319,"Carteret, North Carolina",0.0
320,"Carver, Minnesota",0.0
321,"Cascade, Montana",0.0
322,"Casey, Kentucky",0.0
323,"Cass, Illinois",0.0
324,"Cass, Indiana",0.0
325,"Cass, Michigan",0.0
326,"Cass, Minnesota",0.0
327,"Cass, Missouri",0.0
328,"Cass, Nebraska",0.0
329,"Cass, North Dakota",0.0
330,"Cass, Texas",0.0
331,"Cassia, Idaho",0.0
332,"Castro, Texas",0.0
333,"Caswell, North Carolina",0.0
334,"Catahoula, Louisiana",0.0
335,"Catawba, North Carolina",0.0
336,"Catron, New Mexico",0.0
337,"Cattaraugus, New York",0.0
338,"Cayuga county, New York",0.0
339,"Cayuga, New York",0.0
340,"Cecil, Maryland",0.0
341,"Cedar, Missouri",0.0
342,"Cedar, Nebraska",0.0
343,"Centre county, Pennsylvania",0.0
344,"Centre, Pennsylvania",0.0
345,"Chambers, Alabama",0.0
346,"Chambers, Texas",0.0
347,"Champaign, Illinois",0.0
348,"Chariton, Missouri",0.0
349,"Charles mix, South Dakota",0.0
350,"Charles, Maryland",0.0
351,"Charleston county, South Carolina",0.0
352,"Charleston, South Carolina",0.0
353,"Charlevoix, Michigan",0.0
354,"Charlotte, Florida",0.0
355,"Charlotte, Virginia",0.0
356,"Chase, Nebraska",0.0
357,"Chatham, North Carolina",0.0
358,"Chautauqua, Kansas",0.0
359,"Chautauqua, New York",0.0
360,"Chaves, New Mexico",0.0
361,"Cheboygan, Michigan",0.0
362,"Chelan, Washington",0.0
363,"Chemung, New York",0.0
364,"Chenango, New York",0.0
365,"Cherokee, Alabama",0.0
366,"Cherokee, Kansas",0.0
367,"Cherokee, North Carolina",0.0
368,"Cherokee, South Carolina",0.0
369,"Cherokee, Texas",0.0
370,"Cherry, Nebraska",0.0
371,"Chesapeake city, Virginia",0.0
372,"Cheshire, New Hampshire",0.0
373,"Chester county, Pennsylvania",0.0
374,"Chester, Pennsylvania",0.0
375,"Chester, South Carolina",0.0
376,"Chesterfield, South Carolina",0.0
377,"Chesterfield, Virginia",0.0
378,"Cheyenne, Nebraska",0.0
379,"Chicot, Arkansas",0.0
380,"Chilton, Alabama",0.0
381,"Chippewa, Michigan",0.0
382,"Chippewa, Minnesota",0.0
383,"Chippewa, Wisconsin",0.0
384,"Chisago, Minnesota",0.0
385,"Chittenden, Vermont",0.0
386,"Choctaw, Alabama",0.0
387,"Chouteau, Montana",0.0
388,"Chowan, North Carolina",0.0
389,"Christian, Illinois",0.0
390,"Christian, Kentucky",0.0
391,"Christian, Missouri",0.0
392,"Churchill, Nevada",0.0
393,"Cibola, New Mexico",0.0
394,"Citrus county, Florida",0.0
395,"Citrus, Florida",0.0
396,"Clackamas, Oregon",0.0
397,"Claiborne, Louisiana",0.0
398,"Clallam, Washington",0.0
399,"Clare, Michigan",0.0
400,"Clarendon, South Carolina",0.0
401,"Clarion, Pennsylvania",0.0
402,"Clark county, Nevada",0.0
403,"Clark, Arkansas",0.0
404,"Clark, Illinois",0.0
405,"Clark, Indiana",0.0
406,"Clark, Kentucky",0.0
407,"Clark, Missouri",0.0
408,"Clark, Nevada",0.0
409,"Clark, Ohio",0.0
410,"Clark, South Dakota",0.0
411,"Clark, Washington",0.0
412,"Clark, Wisconsin",0.0
413,"Clarke, Alabama",0.0
414,"Clarke, Virginia",0.0
415,"Clatsop, Oregon",0.0
416,"Clay, Alabama",0.0
417,"Clay, Arkansas",0.0
418,"Clay, Florida",0.0
419,"Clay, Illinois",0.0
420,"Clay, Indiana",0.0
421,"Clay, Kentucky",0.0
422,"Clay, Minnesota",0.0
423,"Clay, Missouri",0.0
424,"Clay, Nebraska",0.0
425,"Clay, North Carolina",0.0
426,"Clay, South Dakota",0.0
427,"Clay, Texas",0.0
428,"Clay, West Virginia",0.0
429,"Clearfield county, Pennsylvania",0.0
430,"Clearfield, Pennsylvania",0.0
431,"Clearwater, Idaho",0.0
432,"Clearwater, Minnesota",0.0
433,"Cleburne, Alabama",0.0
434,"Cleburne, Arkansas",0.0
435,"Cleveland, Arkansas",0.0
436,"Cleveland, North Carolina",0.0
437,"Clinton, Illinois",0.0
438,"Clinton, Indiana",0.0
439,"Clinton, Iowa",0.0
440,"Clinton, Kentucky",0.0
441,"Clinton, Michigan",0.0
442,"Clinton, Missouri",0.0
443,"Clinton, New York",0.0
444,"Clinton, Pennsylvania",0.0
445,"Cochise, Arizona",0.0
446,"Cochran, Texas",0.0
447,"Coconino, Arizona",0.0007936507936507937
448,"Codington, South Dakota",0.0
449,"Coffee, Alabama",0.0
450,"Coffey, Kansas",0.0
451,"Coke, Texas",0.0
452,"Colbert, Alabama",0.0
453,"Cole, Missouri",0.0
454,"Coleman, Texas",0.0
455,"Coles, Illinois",0.0
456,"Colfax, Nebraska",0.0
457,"Colfax, New Mexico",0.0
458,"Colleton, South Carolina",0.0
459,"Collier, Florida",0.0003548387096774194
460,"Collin, Texas",0.0
461,"Collingsworth, Texas",0.0
462,"Colorado, Texas",0.0
463,"Columbia, Arkansas",0.0
464,"Columbia, Florida",9.999999999999999e-05
465,"Columbia, New York",0.0
466,"Columbia, Oregon",0.0
467,"Columbia, Pennsylvania",0.0
468,"Columbia, Washington",0.0
469,"Columbia, Wisconsin",0.0
470,"Columbus county, North Carolina",0.0
471,"Columbus, North Carolina",0.0
472,"Colusa, California",0.0
473,"Comal, Texas",0.0
474,"Comanche, Texas",0.0
475,"Concho, Texas",0.0
